Jornada;HoraP1;HoraP2;GRAVEDAD_ACCIDENTE;CLASE_ACCIDENTE;direccion_normalizada;tipo_principal;num_principal;tipo_secundaria;num_secundaria;FRECUENCIA;Heridos;Muertos;Material;YEAR;MES;DIA;Ponderacion;Riesgo
Tarde;No;No;Material;Choque;AV 110 CR 51B;AV;110;CR;51B;1;no;no;no;2020;November;Sat;4.33;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 53;AV;110;CR;53;1;no;no;no;2019;September;Sat;4.33;Bajo
Noche;No;No;Material;Choque;AV 110 CR 53;AV;110;CR;53;1;no;no;no;2020;January;Wed;4.67;Bajo
Noche;No;No;Muertos;Atropello;AV 110 CR 55;AV;110;CR;55;1;no;no;no;2019;April;Sun;8.0;Moderado
Tarde;No;Si;Heridos;Atropello;AV 110 CR 6;AV;110;CR;6;2;si;no;no;2018;July;Wed;10.67;Alto
Tarde;No;No;Heridos;Atropello;AV 110 CR 6;AV;110;CR;6;8;si;no;no;2018;September;Wed;8.67;Moderado
Noche;No;No;Material;Choque;AV 110 CR 6;AV;110;CR;6;8;no;no;no;2018;December;Sun;6.67;Moderado
Morning;No;No;Material;Choque;AV 110 CR 6;AV;110;CR;6;2;no;no;no;2019;December;Tue;5.0;Bajo
Morning;No;No;Material;Choque;AV 110 CR 6;AV;110;CR;6;8;no;no;no;2020;December;Fri;6.0;Bajo
Morning;No;No;Material;Choque;AV 110 CR 6;AV;110;CR;6;8;no;no;no;2021;May;Sat;6.0;Bajo
Morning;No;No;Material;Choque;AV 110 CR 6;AV;110;CR;6;8;no;no;no;2021;May;Fri;6.0;Bajo
Noche;No;No;Heridos;Choque;AV 110 CR 6;AV;110;CR;6;8;si;no;no;2021;June;Thu;7.67;Moderado
Noche;No;Si;Material;Choque;AV 110 CR 6;AV;110;CR;6;8;no;no;no;2021;July;Tue;9.67;Moderado
Morning;Si;No;Heridos;Choque;AV 110 CR 6;AV;110;CR;6;8;si;no;no;2021;August;Thu;10.0;Moderado
Tarde;No;Si;Heridos;Caida Ocupante;AV 110 CR 6 E;AV;110;CR;6;1;si;no;no;2021;May;Tue;9.0;Moderado
Morning;No;No;Material;Choque;AV 110 CR 6 PARQUEADERO INTERNO METROPARQUE;AV;110;CR;6;1;no;no;no;2019;August;Tue;4.0;Bajo
Tarde;No;Si;Material;Choque;AV 110 CR 68;AV;110;CR;68;1;no;no;no;2020;March;Wed;7.33;Moderado
Morning;No;No;Material;Choque;AV 110 CR 6G;AV;110;CR;6G;1;no;no;no;2018;December;Thu;4.0;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 6H;AV;110;CR;6H;1;no;no;no;2021;July;Sat;4.33;Bajo
Morning;No;No;Material;Choque;AV 110 CR 6N;AV;110;CR;6N;1;no;no;no;2020;November;Mon;4.0;Bajo
Morning;No;No;Material;Choque;AV 110 CR 6Q;AV;110;CR;6Q;1;no;no;no;2018;July;Mon;4.0;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 6R;AV;110;CR;6R;1;no;no;no;2021;May;Thu;4.33;Bajo
Morning;Si;No;Material;Choque;AV 110 CR 7 SUR;AV;110;CR;7;1;no;no;no;2021;March;Wed;7.0;Moderado
Morning;No;No;Material;Choque;AV 110 CR 9;AV;110;CR;9;1;no;no;no;2018;April;Tue;4.0;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 98;AV;110;CR;98;1;no;no;no;2018;April;Wed;4.33;Bajo
Morning;Si;No;Heridos;Choque;AV 110 CR 98;AV;110;CR;98;1;si;no;no;2021;June;Thu;8.0;Moderado
Tarde;No;No;Material;Choque;AV 110 CR 9D;AV;110;CR;9D;2;no;no;no;2021;August;Thu;5.33;Bajo
Morning;No;No;Material;Choque;AV 110 CR 9D;AV;110;CR;9D;2;no;no;no;2021;September;Mon;5.0;Bajo
Tarde;No;No;Material;Choque;AV 110 CR 9G;AV;110;CR;9G;2;no;no;no;2018;April;Tue;5.33;Bajo
Noche;No;Si;Heridos;Choque;AV 110 CR 9G;AV;110;CR;9G;5;si;no;no;2019;January;Mon;10.67;Alto
Noche;No;Si;Heridos;Atropello;AV 110 CR 9G;AV;110;CR;9G;2;si;no;no;2020;January;Thu;11.0;Alto
Morning;No;No;Material;Choque;AV 110 CR 9G;AV;110;CR;9G;5;no;no;no;2021;January;Sun;6.0;Bajo
Tarde;No;No;Heridos;Choque;AV 110 CR 9G;AV;110;CR;9G;5;si;no;no;2021;February;Sun;7.33;Moderado
Noche;No;No;Material;Choque;AV 110 CR 9G;AV;110;CR;9G;5;no;no;no;2021;March;Wed;6.67;Moderado
Noche;No;No;Material;Choque;AV 110 CR 9G;AV;110;CR;9G;5;no;no;no;2021;September;Fri;6.67;Moderado
Morning;No;No;Material;Choque;AV 110 ESTACION DE SERVICIO ALTOQUE;AV;110;;;1;no;no;no;2021;September;Wed;4.0;Bajo
Noche;No;No;Material;Choque;AV 110 VIA 40;AV;110;;;3;no;no;no;2018;December;Fri;6.67;Moderado
Morning;Si;No;Material;Choque;AV 110 VIA 40;AV;110;;;3;no;no;no;2019;August;Mon;9.0;Moderado
Noche;No;No;Material;Choque;AV 110 VIA 40;AV;110;;;3;no;no;no;2019;December;Mon;6.67;Moderado
Morning;Si;No;Material;Choque;AV 40 51 292;AV;40;;;1;no;no;no;2019;May;Sat;7.0;Moderado
Morning;No;No;Material;Choque;AV 40 70 06;AV;40;;;1;no;no;no;2019;February;Fri;4.0;Bajo
Noche;No;No;Material;Choque;AV 40 CL 109;AV;40;CL;109;1;no;no;no;2019;November;Mon;4.67;Bajo
Tarde;No;No;Material;Choque;AV 40 CL 54;AV;40;CL;54;1;no;no;no;2018;January;Sun;4.33;Bajo
Tarde;No;No;Material;Choque;AV 40 CL 58;AV;40;CL;58;1;no;no;no;2022;July;Mon;4.33;Bajo
Tarde;No;Si;Material;Choque;AV 40 CL 66;AV;40;CL;66;1;no;no;no;2019;May;Fri;7.33;Moderado
Morning;No;No;Heridos;Atropello;AV 40 CL 75;AV;40;CL;75;2;si;no;no;2019;November;Wed;7.33;Moderado
Tarde;No;No;Material;Choque;AV 40 CL 75;AV;40;CL;75;2;no;no;no;2020;November;Fri;5.33;Bajo
Tarde;No;No;Heridos;Choque;AV 40 CL 75;AV;40;CL;75;1;si;no;no;2024;May;Tue;5.33;Bajo
Morning;No;No;Material;Choque;AV 40 CL 76;AV;40;CL;76;1;no;no;no;2022;May;Thu;4.0;Bajo
Noche;No;No;Material;Choque;AV 40 CL 77 B;AV;40;CL;77;1;no;no;no;2021;December;Wed;4.67;Bajo
Tarde;No;No;Material;Choque;AV 40 CL 77B;AV;40;CL;77B;1;no;no;no;2019;August;Mon;4.33;Bajo
Morning;No;No;Heridos;Choque;AV 40 CL 78;AV;40;CL;78;1;si;no;no;2023;February;Tue;5.0;Bajo
Noche;No;Si;Material;Choque;AV 40 CL 79B CL 80;AV;40;CL;79B;1;no;no;no;2019;November;Wed;7.67;Moderado
Noche;No;No;Material;Choque;AV 40 CL 80;AV;40;CL;80;2;no;no;no;2018;March;Fri;5.67;Bajo
Tarde;No;No;Material;Choque;AV 40 CL 80;AV;40;CL;80;2;no;no;no;2021;July;Fri;5.33;Bajo
Noche;No;No;Heridos;Choque;AV 40 CL 84;AV;40;CL;84;1;si;no;no;2022;April;Sat;5.67;Bajo
Noche;No;Si;Material;Choque;AV 40 CL 85;AV;40;CL;85;1;no;no;no;2019;July;Tue;7.67;Moderado
Morning;No;No;Material;Choque;AV 40 CL 85;AV;40;CL;85;1;no;no;no;2021;July;Wed;4.0;Bajo
Tarde;No;No;Material;Choque;AV 40 CR 46;AV;40;CR;46;1;no;no;no;2018;December;Sat;4.33;Bajo
Tarde;No;No;Material;Choque;AV 40 CR 50;AV;40;CR;50;3;no;no;no;2018;March;Thu;6.33;Moderado
Tarde;No;No;Material;Choque;AV 40 CR 50;AV;40;CR;50;3;no;no;no;2018;April;Mon;6.33;Moderado
Noche;No;No;Material;Choque;AV 40 CR 50;AV;40;CR;50;3;no;no;no;2018;October;Sat;6.67;Moderado
Morning;No;No;Material;Choque;AV 40 CR 50;AV;40;CR;50;2;no;no;no;2019;August;Fri;5.0;Bajo
Morning;Si;No;Material;Choque;AV 40 CR 50;AV;40;CR;50;2;no;no;no;2020;July;Sat;8.0;Moderado
Tarde;No;No;Material;Choque;AV 40 CR 51;AV;40;CR;51;2;no;no;no;2018;February;Thu;5.33;Bajo
Morning;Si;No;Heridos;Choque;AV 40 CR 51;AV;40;CR;51;2;si;no;no;2018;November;Mon;9.0;Moderado
Morning;No;No;Material;Choque;AV 40 CR 67;AV;40;CR;67;2;no;no;no;2018;March;Wed;5.0;Bajo
Tarde;No;No;Material;Choque;AV 40 CR 67;AV;40;CR;67;2;no;no;no;2019;May;Mon;5.33;Bajo
Morning;No;No;Material;Choque;AV 47 CL 110;AV;47;CL;110;1;no;no;no;2018;January;Mon;4.0;Bajo
Tarde;No;No;Material;Choque;AV 47 CL 88B;AV;47;CL;88B;1;no;no;no;2018;January;Fri;4.33;Bajo
